local,preco,metragem,quartos,garagens,banheiros,bairro
"Avenida Visconde de Guarapuava, Centro",187000,20-36,1,0-1,1,28
"Avenida Visconde de Guarapuava, Centro",279900,32-72,1-2,1-3,1-2,28
"Avenida Marechal Floriano Peixoto, Centro",526316,80,,,,28
"Rua João Mequetti, Santa Cândida",210000,60,3,1,1,60
"Capão da Imbuia, Curitiba",1299900,350,3,6,3,25
"Rua Parnaíba, São Francisco",1049000,182,3,1,3,65
"Avenida Visconde de Guarapuava, Centro",388900,30,1,,1,28
"Rua Frederico Virmond, Jardim das Américas",1350000,242,4,3,6,45
"Rua Francisco Derosso, Alto Boqueirão",284700,55,2,1,2,3
"Rua Arary Souto, Bacacheri",319000,51,2,1,1,9
"Avenida Anita Garibaldi, São Lourenço",28000,364,,,,67
"Rua Capitão José Maria Sobrinho, Fanny",410000,60,2,1,2,36
"Rua Lamenha Lins, Centro",210000,32,,,1,28
"Rua Jornalista Reinaldo Dacheux Pereira, Cidade Industrial",550000,450,,,,33
"Mossunguê, Curitiba",632500,80,3,2,2,50
"Rua Amazonas, Água Verde",549900,75,3,1,2,1
"Rua Alberto Potier, Boa Vista",726315,85,3,1,3,15
"Avenida Anita Garibaldi, São Lourenço",28000,364,,,,67
"Rua Jornalista Caio Machado, Santa Quitéria",335000,52,2,1,2,62
"Rua Vicente Ciccarino, Boa Vista",446900,57,2,1,2,15
"Rua Jovino do Rosário, Boa Vista",376552,10,2,1,2,15
"Rua João Bonat, Novo Mundo",520456,74,3,1,2,51
"Rua Belém, Cabral",549000,98,3,1,3,19
"Rua Visconde do Rio Branco, Centro",476670,54,,1,2,28
"Rua Barão do Rio Branco, Centro",990248,123-149,2,2,2,28
"Rua Vinte e Quatro de Maio, Centro",1226560,153,,,1,28
"Avenida Silva Jardim, Rebouças",213991,19-35,1,,1,58
"Rua Doutor Leocádio Cisneiros Corrêa, Xaxim",449000,99,2,2,2,79
"Uberaba, Curitiba",570000,114,3,1,2,75
"Rua Manoel de Souza Dias Negrão, Boa Vista",1890000,394,3,4,5,15
"Rua Engenheiros Rebouças, Rebouças",659900,67,2,2,2,58
