local,preco,metragem,quartos,garagens,banheiros,bairro
"Santo Inácio, Curitiba",1499810,194.0,3.0,4.0,4.0,63
"Abranches, Curitiba",479500,119.0,3.0,2.0,2.0,0
"Campo Comprido, Curitiba",698000,146.0,3.0,2.0,3.0,23
"Campo Comprido, Curitiba",3990000,538.0,4.0,9.0,5.0,23
"Sitio Cercado, Curitiba",470000,92.0,3.0,2.0,3.0,70
"Mossunguê, Curitiba",2850000,337.0,4.0,2.0,4.0,50
"Umbará, Curitiba",280000,60.0,3.0,2.0,2.0,76
"Boqueirão, Curitiba",930000,159.0,3.0,1.0,3.0,17
"Mercês, Curitiba",1350000,261.0,3.0,3.0,5.0,49
"Portão, Curitiba",530000,77.0,3.0,2.0,2.0,56
"Vista Alegre, Curitiba",668000,134.0,4.0,1.0,4.0,78
"Campo de Santana, Curitiba",168000,40.0,2.0,1.0,1.0,24
"Bairro Alto, Curitiba",330000,77.0,3.0,2.0,2.0,10
"Santa Felicidade, Curitiba",5350000,539.0,4.0,4.0,4.0,61
"Cajuru, Curitiba",1531200,278.0,4.0,4.0,4.0,21
"Boqueirão, Curitiba",599999,151.0,3.0,2.0,2.0,17
"Jardim Botânico, Curitiba",1000000,250.0,3.0,3.0,4.0,43
"Vista Alegre, Curitiba",950000,138.0,3.0,2.0,4.0,78
"Santa Felicidade, Curitiba",1400000,194.0,3.0,3.0,3.0,61
"Santa Cândida, Curitiba",1300000,227.0,3.0,3.0,4.0,60
"São Braz, Curitiba",5990000,531.0,4.0,,,64
"Parolin, Curitiba",679000,150.0,3.0,2.0,3.0,53
"Uberaba, Curitiba",570000,139.0,3.0,2.0,2.0,75
"Capão Raso, Curitiba",650000,108.0,3.0,3.0,2.0,26
"Mercês, Curitiba",1990600,192.0,3.0,3.0,4.0,49
"Xaxim, Curitiba",1800000,210.0,3.0,4.0,3.0,79
"Abranches, Curitiba",799000,194.0,3.0,3.0,2.0,0
"Água Verde, Curitiba",3400000,707.0,4.0,8.0,6.0,1
"São Braz, Curitiba",2180000,220.0,4.0,2.0,5.0,64
"São João, Curitiba",6800000,671.0,4.0,4.0,7.0,66
"Bairro Alto, Curitiba",360000,86.0,3.0,2.0,2.0,10
"Capão da Imbuia, Curitiba",790000,159.0,3.0,2.0,4.0,25
"Guabirotuba, Curitiba",1275000,211.0,3.0,2.0,3.0,39
"Jardim das Américas, Curitiba",1820000,422.0,4.0,4.0,4.0,45
"Uberaba, Curitiba",1390000,198.0,3.0,2.0,4.0,75
"Abranches, Curitiba",799000,250.0,3.0,4.0,1.0,0
"Santa Felicidade, Curitiba",2987000,700.0,6.0,7.0,7.0,61
"Seminário, Curitiba",2280000,303.0,3.0,4.0,3.0,69
"Boqueirão, Curitiba",480000,127.0,3.0,2.0,1.0,17
"Boa Vista, Curitiba",1450000,290.0,4.0,4.0,7.0,15
"Uberaba, Curitiba",1250000,285.0,4.0,5.0,5.0,75
"Barreirinha, Curitiba",750000,124.0,3.0,2.0,2.0,12
"Sitio Cercado, Curitiba",300000,82.0,3.0,2.0,2.0,70
"Santa Quitéria, Curitiba",1560000,276.0,3.0,4.0,5.0,62
"Sitio Cercado, Curitiba",699999,219.0,3.0,4.0,2.0,70
"Santa Felicidade, Curitiba",1429000,194.0,3.0,2.0,3.0,61
